college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
School of Engineering  | Purbanchal University,"Biratnagar, Morang",Purbanchal University,Bachelor of Civil Engineering (BE Civil) Bachelor in Electronics Communication and Automation Engineering Bachelor of Computer Engineering Bachelor of Electrical Engineering,constituent Institution,"021-461270, 021-462179",puset@ntc.net.np,29,2,168
School of Public Health | Patan Academy of Health Sciences,"Lagankhel, Lalitpur",Patan Academy of Health Sciences,Master of Public Health (MPH),constituent Institution,01-5545112,pahs@pahs.edu.np,27,2,546
School of Development and Social Engineering | Pokhara University,"Dhungepatan, Khudi, Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,Bachelor in Development Studies (BDevS) Master in Population Gender and Development (MPGD) Master in Development Studies (MDEVS) Bachelor of English and Communication Studies (BECS) Bachelor of Entrepreneurship Development (BED),constituent Institution,"061-561699 , 061-561696",coordinator@pu.edu.np,28,2,305
Central Ayurveda Vidyapeeth,"Bijauri, Tulsipur, Dang",Nepal Sanskrit University,Bachelor of Ayurvedic Medicine and Surgery (BAMS),constituent Institution,,,25,2,162
School of Engineering | Pokhara University,"Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,Bachelor of Civil Engineering Bachelor of Electrical and Electronics Engineering Bachelor of Civil and Rural Engineering (BE) Bachelor of Computer Engineering (BE Computer) Bachelor of Software Engineering MSc in Structural Engineering MSc in Bioinformatics (M.Sc. Bioinformatics) Master of Science in Construction Management MSc in Electrical Engineering in Power System MSc in Hydropower Engineering MSc in Public Health and Disaster Engineering (MSc PH),constituent Institution,"061-561698 , 061-561697",,28,2,729
Tikapur Multiple Campus,"Tikapur, kailali, Tikapur, Kailali",National Examinations Board,Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) BSc Agriculture (BScAg) Bachelor of Business Studies (BBS) Bachelor of English Education (BEd) Master of Arts (MA) ​Bachelor of Business Administration (BBA) Bachelor of Arts Bachelor of Law (BALLB) Bachelor of Arts (BA) Master of Education (MEd),constituent Institution,"091-560088 , 091-561088",mail@tmc.edu.np,24,2,942
Graduate School of Engineering | Mid-West University,"Birendranagar, Surkhet",Mid-West University,Bachelor of Civil Engineering (BE Civil) Bachelor of Computer Engineering (BE) Bachelor of Hydropower Engineering MSc in Structural Engineering MSc in Construction Management,constituent Institution,"083-524433, 01-5524149, 9804552850",,23,2,171
Graduate School of Science and Technology | Mid-West University,"Birendranagar, Surkhet",Mid-West University,BSc in Botany BSc in Statistics BSc Zoology Bachelor of Arts in Mathematics (BSc Maths) BSc in Computer Science and Information Technology (BSc CSIT) Master of Science in Physics (MSc Physics),constituent Institution,"083-521315, 9848085540",,23,2,171
"Faculty of Agriculture, Agriculture and Forestry University","Rampur, Bharatpur, Chitwan",Agriculture and Forestry University,Msc Agriculture (MSc Ag) BSc Agriculture (B.Sc Ag),constituent Institution,"056-591655, 056-591777",admin@afu.edu.np,1,2,770
College of Environment and Forestry | Purbanchal University,"Gothgaun, Sundarharaicha, Morang",Purbanchal University,Masters in Environmental Administration and Management BSc in Forestry,constituent Institution,9852084222,info.pucef@gmail.com,29,2,385
Himalaya Eye Hospital,"Pardi Bazaar, Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,Master of Optometry (M Optom) Bachelor of Optometry (B Optom),constituent Institution,061-461168,heh@ntc.net.np,28,2,706
"Faculty of Animal Science, Veterinary Science and Fisheries, Agriculture and Forestry University","Rampur, Bharatpur, Chitwan",Agriculture and Forestry University,Bachelors in Veterinary Sciences and Animal Husbandry (BVSc&AH) BSc Fisheries MSc in Animal Science Master of Veterinary Science (MVSc) MSc in Fisheries (Aquaculture),constituent Institution,+977 56 592131,admin@afu.edu.np,1,2,770
"Faculty of Forestry, Agriculture and Forestry University","Hetauda, Makawanpur, Hetauda, Makwanpur",Agriculture and Forestry University,BSc in Forestry,constituent Institution,"+977 57 524154, +977 57 527354, +977 57 523248",deanforestry@afu.edu.np,1,2,405
"Center for Biotechnology, Agriculture and Forestry University","Bharatpur, Chitwan, Bharatpur, Chitwan",Agriculture and Forestry University,MSc in Agriculture (Biotechnology) MSc in Animal Science (Biotechnology) MSc Forestry MSc in Veterinary Science (Biotechnology),constituent Institution,,,1,2,130
Central Campus: Lumbini Buddhist University,"Parsa Chauraha, Lumbini, Lumbini Sanskritik, Rupandehi",Lumbini Buddhist University,MA in Applied Buddhism MA in Mahayana Buddhism MA in Theravada Buddhism Bachelor in Travel and Tourism Management with honors in Buddhism (BTTM) MA in Archaeology and Buddhist Archaeological Sites MA in Museology and Buddhist Collections,constituent Institution,"977-71-404071, 071-404077",,21,2,707
School of Forestry and Natural Resource Management | Institute of Forestry,"Kirtipur, Kathmandu",Unknown,MSc in Wildlife Management and Biodiversity Conservation MSc Mountain Environment and Development Studies MSc in Forestry,constituent Institution,01-4333927,,39,2,515
City Campus Butwal,"Butwal, Rupandehi",Lumbini Buddhist University,Bachelor of Arts Bachelor of Law (BALLB) Bachelor in Travel and Tourism Management with honors in Buddhism (BTTM) MA in Buddhist Studies,constituent Institution,071-445537,,21,2,200
Mid-West University MICD Office,"Nayabato, Dhobighat, Lalitpur",Mid-West University,Master in International Cooperation and Development (MICD),constituent Institution,01-5544970,micd@mwu.edu.np,23,2,669
School of Development Studies and Applied Sciences - Lumbini Buddhist University,"Lumbini, Devdaha, Rupandehi",Lumbini Buddhist University,Master in Environmental Studies (MES) Master in Development Studies (MDS) Master in Agro-Forestry (MAF),constituent Institution,977-71-577427,info@lbu.edu.np,21,2,574
School of Engineering - Manmohan Technical University,"Budhiganga-4, Biratnagar, Budhiganga, Morang",Manmohan Technical University,Bachelor in Electrical and Electronics Engineering (BEExE) Bachelor in Civil Engineering,constituent Institution,,info@mtu.edu.np,22,2,197
School of Applied Science and Technology - Manmohan Technical University,"Biratnagar, Budhiganga, Morang",Manmohan Technical University,MSc Health Policy and Management,constituent Institution,021-691096,info@mtu.edu.np,22,2,167
School of Science and Technology | Purbanchal University,"Biratnagar, Morang",Purbanchal University,Bachelor of Computer Application (BCA) Bachelor of Information Technology (BIT) Master of Computer Application (MCA) Master of Information Technology (MIT) Post Graduate Diploma in Computer Application BTech in Artificial Intelligence (BTech in AI),constituent Institution,,,29,2,168
Graduate School of Agriculture and Forestry | Mid-West University,"Birendranagar, Surkhet",Mid-West University,BSc Agriculture (BSc Ag),constituent Institution,,,23,2,171
NATHM-Bardibas,"Bardibas, Bardibas, Mahottari",Kathmandu University,Bachelor in Hospitality Management (BHM),constituent Institution,,bardibas@nathm.edu.np,17,2,84
Aspire College,"Malaya Road, Biratnagar, Biratnagar, Morang",Kathmandu University,Bachelor in Professional Hospitality (BPH) Bachelor of Technical Education in Information Technology (B Tech Ed IT),constituent Institution,021-435170,aspire.ku.brt@gmail.com,17,2,604
Theravada Buddhist Academy,"Min Bhawana, Vishwa Shanti Vihar, Kathmandu",Lumbini Buddhist University,MA in Theravada Buddhism Master in Pali Buddhist Studies,private Institution,,,21,3,646
Lumbini College of Buddhism and Himalayan Studies,"Chabhil, Chuchepati, Kathmandu",Lumbini Buddhist University,MA in Buddhism and Himalayan Studies,private Institution,,,21,3,210
Sugata Buddhist College,Lalitpur,Lumbini Buddhist University,MA in Mahayana Buddhism,private Institution,,,21,3,554
Lotus Academic College,"Khwayabahil, Lalitpur",Lumbini Buddhist University,MA in Applied Buddhism MA in Buddhist Studies,private Institution,,,21,3,514
Kathmandu School of Law,"Dadhikot, Suryabinayak, Bhaktapur",Purbanchal University,Bachelor of Arts Bachelor of Laws (BALLB) Master of Laws (LLM) Master in Conflict and International Humanitarian Law Master Degree in Human Rights,private Institution,,,29,3,248
Shree Medical and Technical College,"Bharatpur, Chitwan",Council for Technical Education and Vocational Training,Master in Pharmacy (Clinical Pharmacy) Certificate in Medical Laboratory Technology (CMLT) Post Basic Bachelor in Nursing (BNS) Bachelor of Pharmacy (B Pharm) Bachelor of Public Health (BPH) BSc Nursing Master of Public Health (MPH),private Institution,,,7,3,129
Himalayan College of Geomatic Engineering and Land Resource Management,"Minbhawan, Kathmandu",Purbanchal University,Bachelor of Geomatic Engineering (BE Geomatics),private Institution,,,29,3,647
Himalayan College of Agriculture Science and Technology,"Kirtipur, Kathmandu",Purbanchal University,BSc Hons in Agriculture Bachelor of Veterinary Science and Animal Husbandry (BVSc&AH) MSc in Meat Technology Master in Agri-Business Management,private Institution,,,29,3,515
School of Environmental Science and Management,"New Baneshwor, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) BSc in Environmental Management Bachelor of Computer Application (BCA) MSc in Environmental Science and Management,private Institution,,,28,3,677
Kasthamandap School of Public Affairs Management,"New Baneshwor, Kathmandu",Purbanchal University,Master of Public Administration (MPA),private Institution,,,29,3,677
Sushma Koirala Memorial Nursing Campus,"Sankhu, Shankharapur, Kathmandu",Council for Technical Education and Vocational Training,PCL Nursing,private Institution,,,7,3,813
College of Development Studies,"Old Baneshwor, Kathmandu",Purbanchal University,Master in Development Studies (MDS),private Institution,,,29,3,687
Ramnagar Technical and Management College,"Ramnagar, Sunwal, Parasi",Agriculture and Forestry University,BSc Agriculture (B.Sc Ag),private Institution,,,1,3,768
Glacier Educational Foundation,"Banepa, Kavrepalanchok",Kathmandu University,Bachelor in Professional Hospitality (BPH),private Institution,,,17,3,67
School of Education  | Kathmandu University,"Hattiban, Lalitpur",Kathmandu University,MEd in Leadership and Management MPhil by Research in Mathematics Education Master in Sustainable Development (MSD) MEd in English Language Teaching MEd in Mathematics Education BEd in Chinese Language Teaching (BEd in CLT) Master in Technical and Vocational Education and Training (MTEVT) MEd in Leadership and Management - One Year MPhil in Educational Leadership MPhil in English Language Education MPhil in Development Studies MPhil in STEAM Education PhD in Education One Year M Ed in STEAM Education MEd in English Language Teaching - One Year (M Ed in ELT) MEd in Training and Development MEd in Early Child Development (MEd ECD) Postgraduate Diploma in Educational Management Post Graduate Diploma in Mathematics Education Bachelor of Technical Education in Information Technology (B Tech Ed IT),public Institution,"01-5250524, 01-5251306",kusoed@ku.edu.np,17,4,402
Nepal Academy of Tourism and Hotel Management,"Kalimati, Kathmandu",Tribhuvan University,Master of Hospitality Management (MHM) Bachelor of Hotel Management (BHM) Bachelor in Travel and Tourism Management (BTTM) Trekking Guide Training,public Institution,"01-4270605, 01-4270073",nathm@mos.com.np,34,4,467
School of Management | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,MBA in Global Leadership and Management (MBA) Master of Business Administration (MBA) MBA Finance and Control (MFC) MBA in Information Technology (MBA-IT),public Institution,977-1-4332719,info@somtu.edu.np,34,4,515
"Department of Conflict, Peace and Development Studies Tribhuvan University","Mid-Baneshwor, Kathmandu",Tribhuvan University,MA in Conflict Peace and Development Studies,public Institution,4462988,admin@dcpds-tu.edu.np,34,4,643
Kathmandu University School of Engineering,"Dhulikhel, Kavrepalanchok",Kathmandu University,ME in Computer Engineering (ME) Master of Technology in Information Technology (MTech in IT) ME in Structural Engineering ME in Mechanical Engineering ME in Communication Engineering ME in Electrical Power Engineering Master in Energy Efficient Building Design (EEBD) Master in Land Administration ME/MS in Geoinformatics ME/MS Sanitation Technology BTech in Artificial Intelligence (BTech in AI) MTech in Artificial Intelligence (M Tech in AI) Bachelor in Mechanical Engineering (BE Mechanical) Bachelor of Geomatic Engineering (BE) Bachelor of Computer Engineering (BE) Bachelor in Chemical Engineering (BE Chemical) Bachelor of Civil Engineering (BE Civil) Bachelor in Electrical and Electronics Engineering (BE Electrical) Bachelor of Architecture Bachelor in Mechanical Engineering (Hydropower) (BE Mechanical) Bachelor in Mechanical Engineering (Automobile) (BE Mechanical) Bachelor in Mechanical Engineering (Energy Technology) (BE Mechanical) Bachelor in Mechanical Engineering (Design & Manufacturing) (BE Mechanical) Master in Planning and Operation of Energy Systems Master in Health Informatics,public Institution,977-11-661399,info@ku.edu.np,17,4,301
Siddhanath Science Campus,"Mahendranagar, Bhimdatta, Kanchanpur",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) MSc Physics BSc Microbiology Bachelors in Information Technology (BIT) BSc Chemistry BSc Physics,public Institution,977-99-21220,,34,4,597
School of Management  | Kathmandu University,"Balkumari, Lalitpur",Kathmandu University,Master of Business Administration (MBA) BBA (Hons)/BBA (Emphasis) Executive MBA (EMBA) PhD in Management MPhil in Management Master of Public Policy and Management (MPPM) Bachelor of Business Information System (BBIS) Post Graduate Diploma in Management (PGD) Master in Security Management (MSM) Post Graduate Diploma in Security Management (PGD) Master in Business and Economics (MBE),public Institution,977-1- 5548891,info@kusom.edu.np,17,4,56
